Scenario,A*_Cost,A*_Time,A*_Nodes,ACO_Cost,ACO_Time,ACO_Nodes,QL_Cost,QL_Time,QL_Nodes
1,171.87292578824795,0.0010004043579101562,5,171.87292578824795,0.0049991607666015625,309,171.87292578824795,0.021999597549438477,3148
2,25.44599205667481,0.0,2,25.44599205667481,0.003006458282470703,75,25.44599205667481,0.004993438720703125,823
3,32.68753143196929,0.0,6,32.68753143196929,0.004998922348022461,316,35.199040949473996,0.006000041961669922,900
4,470.5237576367984,0.0009992122650146484,9,470.5237576367984,0.006994485855102539,562,474.7989903318732,0.0472865104675293,6596
5,1315.2689301300206,0.0,25,1315.2689301300206,0.010075807571411133,997,1324.2854319525618,0.020190715789794922,2907
6,308.3667712258102,0.0,6,308.3667712258102,0.00408482551574707,303,308.3667712258102,0.027001380920410156,3636
7,1013.250482521707,0.0,12,1026.8221790692612,0.008997440338134766,944,1035.3252747106305,0.06382417678833008,9128
8,387.68563406555126,0.0009982585906982422,6,387.68563406555126,0.005078554153442383,300,388.13020735838444,0.020331382751464844,2964
9,37.690950833056505,0.0010561943054199219,3,37.690950833056505,0.004005908966064453,166,37.690950833056505,0.005067586898803711,753
10,20.106606413192274,0.0,2,20.106606413192274,0.002999544143676758,75,20.106606413192274,0.008090734481811523,1194
11,417.7402998001523,0.0,10,419.1287655997965,0.005173206329345703,375,419.67811315021595,0.023000001907348633,2926
12,638.6007999681069,0.0,36,654.7733367217296,0.009999275207519531,1055,707.4785441486936,0.0670013427734375,9235
13,409.45013229290737,0.0,10,551.2077120027884,0.004999876022338867,354,409.45013229290737,0.05305767059326172,7320
14,53.31667695416172,0.0,2,53.31667695416172,0.002994060516357422,75,53.31667695416172,0.0019986629486083984,237
15,316.6996236607894,0.0,16,316.6996236607894,0.0049974918365478516,465,316.6996236607894,0.07243895530700684,10002
16,122.73377804026953,0.0,3,122.73377804026953,0.003070831298828125,170,122.73377804026953,0.011998653411865234,1751
